22877	脑供血不足
T91.102	陈旧性脊柱骨折
T91.103	陈旧性尾骨骨折
T91.104	陈旧性胸椎骨折
T91.105	陈旧性腰椎骨折
T91.106	陈旧性颈椎骨折
T91.201	陈旧性肋骨骨折
T91.202	陈旧性骶骨骨折
T91.203	陈旧性骨盆骨折
T91.301	脊髓损伤后遗症
T91.303	胸脊髓损伤后遗症
T91.401	胸内器官损伤后遗症
T91.501	腹内损伤后遗症
T91.503	盆腔器官损伤后遗症
T91.801	膈神经损伤后遗症
T91.802	陈旧性环枢椎脱位
T91.803	陈旧性颈椎脱位
T91.804	腰丛神经损伤后遗症
T91.805	骶丛神经损伤后遗症
T91.902	会阴损伤后遗症
T91.903	颈部损伤后遗症
T92.001	上肢开放性损伤后遗症
T92.101	陈旧性肱骨骨折
T92.102	陈旧性尺骨骨折
T92.104	陈旧性肩峰骨折
T92.105	陈旧性肩盂骨折
T92.106	陈旧性尺桡骨骨折
T92.107	陈旧性桡骨骨折
T92.108	陈旧性上肢骨折
T92.109	陈旧性锁骨骨折
T92.110	陈旧性盖氏骨折
T92.111	陈旧性孟氏骨折
T92.201	陈旧性腕骨骨折
T92.203	陈旧性掌骨骨折
T92.204	陈旧性指骨骨折
T92.301	上肢脱位后遗症
T92.302	上肢扭伤后遗症
T92.304	陈旧性腕关节脱位
T92.305	陈旧性腕掌关节脱位
T92.306	陈旧性掌指关节脱位
T92.307	陈旧性指关节脱位
T92.308	陈旧性桡骨头脱位
T92.309	陈旧性尺桡关节脱位
T92.311	指韧带损伤后遗症
T92.312	陈旧性下尺桡关节损伤
T92.313	陈旧性舟骨月骨周围脱位
T92.314	陈旧性肘关节脱位
T92.315	掌板侧副韧带损伤后遗症
T92.316	肘关节韧带损伤后遗症
T92.401	上肢神经损伤后遗症
T92.402	桡神经损伤后遗症
T92.403	正中神经损伤后遗症
T92.404	指神经损伤后遗症
T92.405	皮神经损伤后遗症
T92.406	腋神经损伤后遗症
T92.407	臂丛神经损伤后遗症
T92.408	尺神经损伤后遗症
T92.501	屈肌腱断裂后遗症
T92.502	屈肌腱粘连后遗症
T92.503	屈拇长肌腱损伤后遗症
T92.504	屈指肌腱损伤后遗症
T92.505	上肢肌肉和肌腱损伤后遗症
T92.506	伸肌腱断裂后遗症
T92.507	伸肌腱粘连后遗症
T92.508	伸拇长肌腱损伤后遗症
T92.509	伸指肌腱损伤后遗症
T92.510	手肌腱挛缩后遗症
T92.511	手肌腱缺损后遗症
T92.512	上肢肌腱粘连后遗症
T92.513	指伸肌腱粘连后遗症
T92.514	手内在肌损伤后遗症
T92.602	创伤性手指缺如
T92.603	创伤性上肢骨缺损
T92.801	上肢血管损伤后遗症
T93.101	陈旧性股骨颈骨折
T93.102	陈旧性股骨粗隆间骨折
T93.103	陈旧性股骨干骨折
T93.105	陈旧性股骨骨折
T93.106	陈旧性髋臼骨折
T93.107	陈旧性股骨头骨折
T93.201	陈旧性距骨骨折
T93.203	陈旧性腓骨骨折
T93.204	陈旧性下肢骨折
T93.205	陈旧性胫骨骨折
T93.207	陈旧性双踝骨折
T93.208	陈旧性胫腓骨骨折
T93.210	陈旧性跟骨骨折
T93.301	下肢脱位后遗症
T93.302	下肢扭伤后遗症
T93.303	下肢劳损后遗症
T93.305	陈旧性趾间关节脱位
T93.401	下肢神经损伤后遗症
T93.403	股神经损伤后遗症
T93.404	腓总神经损伤后遗症
T93.406	腓肠神经损伤后遗症
T93.501	下肢肌肉损伤后遗症
T95.001	外耳道烧伤后遗症
T95.002	头颈烧伤后遗症
T95.003	头颈冻伤后遗症
T95.102	躯干冻伤后遗症
T95.201	上肢烧伤后遗症
T95.203	上肢冻伤后遗症
T95.301	下肢烧伤后遗症
T95.801	眼烧伤后遗症
T95.802	四肢烧伤后遗症
T97xx02	一氧化碳中毒后遗症
T97xx03	中毒性脑病后遗症
T98.001	通过自然腔口进入的异物效应的后遗症
T98.2x011	开放性损伤伴有异物
T98.2x012	开放性损伤伴有异物合并感染
T98.2x031	开放性损伤延期愈合
T98.2x032	开放性损伤延期治疗
V01.191	行人与脚踏车碰撞的交通事故
V03.191	行人与小型机动车碰撞的交通事故
V04.191	行人与大型机动车碰撞的交通事故
V04.192	行人与公共汽车碰撞的交通事故
V05.991	火车碰伤
V09.291	机动车辆与行人碰撞的交通事故
V12.991	机动车与自行车碰撞的交通事故
V19.991	自行车的事故
V28.091	骑摩托车人员在非碰撞性运输事故中翻倒
V29.991	摩托车的事故
V38.191	三轮机动车乘员在非碰撞性运输事故中翻倒
V48.191	小汽车乘员在非碰撞性运输事故中翻倒
V59.991	轻型货车或篷车事故
V68.191	重型运输车乘员在非碰撞性运输事故中翻倒
V78.191	公共汽车乘员在非碰撞性运输事故中翻倒
V79.991	公共汽车的事故
V80.091	骑手跌落
V80.792	骑手或乘员与畜挽车辆的碰撞
V80.793	骑手或乘员与被驱赶的牲畜的碰撞
V80.991	畜挽车辆的事故
V81.291	铁路上列车碰撞事故
V81.891	火车或铁路车辆乘员被落下的树击中
V81.893	火车或铁路车辆乘员被落下的土块击中
V82.491	在上下(市内有轨)电车时的人员损伤
V83.991	专用工业车辆事故
V84.291	骑摩托车被拖拉机撞伤
V85.991	专用建筑车辆事故
V89.291	机动车交通事故
V89.292	机动车辆失控引起的交通事故
V89.293	机动车相撞
V90.991	翻船
V90.992	沉船
V95.391	有固定机翼的商用飞机事故,伤及乘员
V95.891	其他飞行器事故,伤及乘员
V95.991	飞行器事故
W00.391	在雪地上摔倒(体育和运动场所)
W00.491	在雪地上摔倒(街道和公路)
W00.991	在雪地上摔倒
W01.092	在同一平面上跌倒(家中)
W01.094	在同一平面上摔倒(家中)
W01.191	在同一平面上滑倒(居住的公共场所)
W01.193	在同一平面上绊倒(居住的公共场所)
W01.194	在同一平面上摔倒(居住的公共场所)
W01.292	在同一平面上跌倒(学校、其他机构等)
W01.293	在同一平面上绊倒(学校、其他机构等)
W01.391	在同一平面上滑倒(体育和运动场所)
W01.392	在同一平面上跌倒(体育和运动场所)
W01.394	在同一平面上摔倒(体育和运动场所)
W01.491	在同一平面上滑倒(街道和公路)
W01.493	在同一平面上绊倒(街道和公路)
W01.494	在同一平面上摔倒(街道和公路)
W01.992	在同一平面上跌倒
W01.993	在同一平面上绊倒
W02.291	溜旱冰时跌倒(学校、其他机构等)
W02.293	滑帆板时跌伤(学校、其他机构等)
H02.802	后天性内眦畸形
H02.803	后天性外眦畸形
H02.804	眼睑水肿
H02.805	烧伤后睑畸形
H02.806	烧伤后眉毛缺损
H02.807	眼睑出血
H02.808	眼睑黑变病
H02.809	眼睑后天性畸形
H02.810	眼睑囊肿
H02.811	眼睑皮脂腺囊肿
H02.812	眼睑多毛症
H02.813	眼睑内异物存留
H02.814	内眦移位
H02.815	眼睑瘘道
H02.816	外眦移位
H02.817	眼睑结石
H02.901	眼睑新生物
H02.902	眼睑肿物
H02.903	眼睑细胞组织增生症
H04.001	急性泪腺炎
H04.002	慢性泪腺炎
H04.003	泪腺炎
H04.004	泪腺慢性肥大
H04.101	泪腺脱垂
H04.102	泪眼
H04.103	泪液分泌过少
H04.104	眼干燥综合征
H04.105	泪腺萎缩
H04.106	泪腺囊肿
H04.201	泪溢
H04.301	化脓性泪囊炎
H04.302	急性泪囊炎
H04.303	泪囊脓肿
H04.304	泪囊炎
H04.305	泪小管炎
H04.401	慢性泪囊炎
H04.402	慢性泪小管炎
H04.403	慢性泪器粘液囊肿
H04.501	鼻泪管闭锁
H04.502	鼻泪管阻塞
H04.503	泪道梗阻
H04.504	泪道狭窄
H04.506	泪小管阻塞
H04.507	泪道闭锁不全
H04.601	泪囊瘘
H04.602	泪囊囊肿
H04.603	泪囊粘液囊肿
H04.604	泪管肉芽肿
H04.801	泪小管断裂
H04.802	泪小管息肉
H05.001	眶蜂窝织炎
H05.002	眶内脓肿
H05.003	球筋膜炎
H05.004	眼眶骨髓炎
H05.005	眼眶骨膜炎
H05.006	眼眶感染
H05.101	眶内肉芽肿
H05.102	眶内炎性假瘤
H05.103	眼眶非特异性炎症
H05.104	眼眶炎性肉芽肿
H05.105	眼球后炎症
H05.106	眶肌炎
H05.107	眼眶假瘤
H05.201	眶部出血
H05.202	眶内血肿
H05.203	眼球突出
H05.204	眼眶水肿
H05.301	眼眶萎缩
H05.302	眼眶畸形
H05.303	眼眶外生骨疣
H05.401	眼球陷没
H05.501	眶内陈旧性异物
H05.502	球后异物
H05.801	眶内囊肿
H05.802	眶内粘液囊肿
H05.803	眶内上皮样囊肿
H05.805	眼眶溃疡
H05.901	眶内占位性病变
H05.902	眶内肿物
H05.903	眶外肿物
H05.904	眶上肿物
H10.001	粘液脓性结膜炎
H10.101	变应性结膜炎(免疫性结膜炎)
H10.102	春季结膜炎
H10.103	急性变应性结膜炎
H10.201	卡他性结膜炎
H10.301	急性结膜炎
H10.401	球结膜肉芽肿
H10.402	慢性结膜炎
H10.403	结膜肉芽肿
H10.501	眼眦脓肿
H10.502	睑腺性结膜炎
H10.801	感染性结膜炎
H10.802	结膜溃疡
H10.803	泡性结膜炎
H10.901	结膜炎
H10.902	细菌性结膜炎
H10.903	眼炎
H11.001	翼状胬肉
H11.101	结膜变性
H11.102	睑裂斑
H11.103	干眼病(结膜干燥)
H11.104	结膜干燥症
H11.105	结膜角化
H11.106	结膜结石
H11.107	结膜黑变病
H11.108	结膜银质沉着病[银沉着病]
H11.109	结膜色素沉着
H11.201	睑球粘连
H11.202	结膜瘢痕
H11.301	结膜出血
H11.302	结膜下出血
H11.401	结膜囊肿
H11.402	结膜血管增生
H11.403	结膜动脉瘤
H11.404	结膜充血
H11.405	结膜水肿
H11.801	假性翼状胬肉
H11.802	角结膜增生
H11.803	结膜淋巴管扩张
H11.804	结膜囊畸形
H11.805	结膜囊挛缩
H11.806	结膜囊狭窄
H11.807	结膜松驰
H11.808	结膜息肉
H11.810	眼结膜脱垂
H11.812	太尔松氏腺
H11.813	结膜溶解
H11.901	结膜肿物
H15.001	巩膜溃疡
H15.002	巩膜脓肿
H15.003	巩膜炎
H15.101	表层巩膜炎
H15.801	巩膜黑变病
H15.802	巩膜葡萄肿
H15.803	巩膜肉芽肿
H15.805	睫状体巩膜葡萄肿
H15.806	巩膜坏死
H15.808	巩膜缺损
H15.809	巩膜钙化
H16.001	病毒性角膜溃疡
H16.002	角膜穿孔
H16.005	眼角膜溃疡穿孔
H16.006	环形角膜溃疡
H16.007	中心性角膜溃疡
H16.008	周边性角膜溃疡
H16.010	角膜糜烂
H16.101	电光性眼炎
H16.102	浅层点状角膜炎
H16.103	丝状角膜炎
H16.104	晕性角膜炎
H16.105	星状角膜炎
H16.106	条纹状角膜炎
H16.108	光性角膜炎
H16.109	雪盲
H16.202	小泡性角膜结膜炎
H16.203	角膜结膜炎
H16.204	神经营养性角膜结膜炎
H16.206	结节性眼炎
H16.207	大泡性角膜结膜炎
H16.208	干眼症
H16.302	角膜脓肿
H16.303	实质性角膜炎
H16.304	硬化性角膜炎
H16.305	基质性角膜炎
H16.306	深层角膜炎
H16.401	角膜血管翳
H16.403	角膜血管影
H16.802	大泡性角膜炎
H16.803	疫苗接种角膜炎
H16.805	粘连性角膜炎
H16.806	反应性角膜炎
H16.808	化脓性角膜炎
H16.810	束状角膜炎
H16.811	药物毒性角膜炎
H16.813	暴露性角膜炎
H16.901	角膜炎
H17.101	中心性角膜混浊
H17.801	角膜白斑
H17.802	角膜斑翳
H17.901	角膜瘢痕
H17.902	角膜混浊
H18.003	角膜血染
H18.004	凯泽-弗莱舍尔环
H18.006	施特里线
H18.101	大泡性角膜病
H18.201	角膜水肿
H18.302	狄氏膜破裂
H18.303	角膜层改变
H18.402	带状角膜病
H18.403	角膜角化病
H18.405	老年环
H18.406	角膜结膜化
H18.501	家族性遗传性角膜变性
H18.502	角膜营养不良
H18.503	遗传性角膜营养不良
H18.504	上皮性角膜营养不良
H18.505	颗粒状角膜营养不良
H18.507	斑状角膜营养不良
H18.508	Fuchs角膜内皮营养不良
H18.701	角膜后弹性层膨出
H18.703	球形角膜
H18.704	角膜畸形
H18.705	角膜突出
H18.802	角膜内皮失代偿
H18.803	角膜囊肿
H18.805	角膜切口瘘
H18.807	角膜炎性肿物
H18.808	角膜溶解
H18.809	角膜上皮损伤
H18.812	角膜感觉减退
H18.813	复发性角膜糜烂
H20.001	创伤性虹膜睫状体炎
H20.004	急性虹膜睫状体炎
H20.005	前房积脓性虹膜睫状体炎
H20.007	急性前葡萄膜炎
H20.008	复发性前葡萄膜炎
H20.101	慢性虹膜睫状体炎
H20.102	慢性虹膜炎
H20.104	肉芽肿性色素膜炎
H20.201	晶体诱发性色素膜炎
H20.202	晶状体诱发性虹膜睫状体炎
H20.801	虹膜脓肿
H20.901	虹膜睫状体炎
H20.902	虹膜炎
H20.903	继发性虹膜炎
H20.904	眼色素膜炎(葡萄膜炎)
H20.906	陈旧性葡萄膜炎
H20.907	角膜葡萄膜炎
H21.001	虹膜出血
H21.002	眼前房出血
H21.102	虹膜红变
H21.103	房角新生血管形成
H21.104	睫状体新血管形成
H21.202	虹膜缺损
H21.203	虹膜萎缩
H21.204	虹膜和睫状体变性
H21.206	虹膜半透明
H21.207	瞳孔缘变性
H21.209	进行性虹膜萎缩
H21.210	陈旧性虹膜睫状体炎
H21.302	虹膜睫状体和前房囊肿
L29.901	瘙痒症
L30.001	钱币状湿疹
L30.101	汗疱症
L30.201	自体过敏性皮炎
L30.202	皮癣菌疹
L30.301	传染性皮炎
L30.302	传染性湿疹样皮炎
L30.401	擦烂红斑
L30.501	白糠疹
L30.502	单纯糠疹
L30.801	季节性大疱性皮炎
L30.802	胼胝性湿疹
L30.901	皮炎
L30.902	湿疹
L30.903	湿疹样皮炎
L30.904	阴囊湿疹
L40.001	寻常性银屑病
L40.002	银屑病
L40.101	脓疱性银屑病
L40.102	疱疹样脓疱病
L40.401	滴状银屑病
L40.501+M07.3*	银屑病性关节炎
L40.801	红皮病性银屑病
L40.802+N05.9*	银屑病性肾炎
L41.001	急性苔癣痘疹样糠疹
L41.101	滴状类银屑病
L41.201	淋巴瘤样丘疹病
L41.801	斑状类银屑病
L41.901	类银屑病
L42xx01	玫瑰糠疹
L43.001	肥大性扁平苔癣
L43.101	大疱样扁平苔癣
L43.301	热带扁平苔癣
L43.901	扁平苔癣
L44.001	毛发红糠疹
L44.201	条纹状苔癣
L44.301	念珠状红苔癣
L50.001	变应性荨麻疹
L50.101	特发性荨麻疹
L50.301	人为性荨麻疹
L50.501	胆硷能性荨麻疹
L50.601	接触性荨麻疹
L50.801	急性荨麻疹
L50.802	慢性荨麻疹
L50.901	荨麻疹
L51.001	非大疱型多形红斑
L51.101	糜烂性多形红斑
L51.102	史蒂文斯-约翰逊综合征(Stevens-Johnson综合征)
L51.201	莱尔氏综合征
L51.202	烫伤样皮肤综合征
L51.901	渗出性多形红斑
L51.902	多形红斑
L52xx01	硬红斑
L52xx02	结节性红斑
L53.001	中毒性红斑
L53.101	环形红斑
L53.201	边缘性红斑
L53.901	红斑
L53.902	红皮病
L55.001	日晒红斑
L56.201	光接触性皮炎
L56.301	日光性荨麻疹
L56.401	多行性日光斑
L57.001	老年性角化病
L57.002	日光性角化病
L57.401	老年性皮肤松垂
L57.402B	面部皮肤松弛
L57.402J	手皮肤松弛
L57.402L1	颈部皮肤松弛
L57.402L4	腹部皮肤松弛
L57.501	光化性肉芽肿
L57.801	光照性皮炎
L57.802G	非年龄性上肢皮肤松驰
L57.802H	非年龄性下肢皮肤松驰
L57.802L	非年龄性躯干部皮肤松驰
L58.001	急性放射性皮炎
L58.101	慢性放射性皮炎
L58.901	放射性皮炎
L60.001	嵌甲
L60.101	甲脱离
L60.201	甲弯曲
L60.202	甲肥厚
L60.302	脆甲症
L60.401	博氏线
L60.501	黄甲综合征
L60.801	甲床角化过度
L60.802	指甲下出血
L60.803	趾甲下出血
L60.901	爪甲病
L63.001	(头部)全秃
L63.101	全身脱毛
L63.901	斑秃
L63.902	局限性脱发
L64.901	雄激素性脱发
L65.001	静止期脱发
L65.101	再生期脱发
L65.201	粘蛋白性脱发
L65.901	早老性脱发
L65.902	脂溢性脱发
L65.903	毛发稀少症
L65.904	脱发
L66.001	假斑秃
L66.101	毛发扁平苔癣
L66.201	脱发性毛囊炎
L66.301	脓肿性穿掘性头部毛囊周围炎　
L66.901	瘢痕性脱发[瘢痕性毛发缺失]
L67.001	结节性脆发病
L68.001	男性型多毛症
L68.101	后天性胎毛过多
L68.201	局限性多毛症
L68.301	多毛症
L70.001	粉刺
L70.002	脓疱性痤疮
L70.003	硬结性痤疮
L70.101	聚合样痤疮
L70.201	痘样痤疮
L70.202	粟粒性坏死痤疮
L70.301	热带痤疮
L70.401	婴儿痤疮
L70.501	表皮脱落性痤疮
L70.901	痤疮
L71.001	口周皮炎
L71.101	鼻赘
L71.901	酒渣鼻
L72.001	表皮样囊肿
L72.002	躯干皮下囊肿
L72.003	头颈部皮下囊肿
L72.102	毛发囊肿
L72.201	多发性脂囊瘤
L72.902	皮下囊肿
L73.001	痤疮性瘢瘤
L73.801	须疮
L73.901	毛囊炎
L74.002	痱子
L74.101	晶状粟疹
L74.202	深粟疹
L74.301	粟疹
L74.401	无汗
L75.101	色汗症
L75.201	干性粟粒疹综合征
L80xx02	白癜风
L81.101	褐黄斑
L81.201	雀斑
L81.301	咖啡牛奶斑
L81.401	着色病
L81.801	铁色素沉着
L81.802	纹身
L81.901	皮肤色素沉着
L82xx02	脂溢性角化症
L83xx02	假黑棘皮病
L84xx01	鸡眼
L84xx02	胼胝
L85.101	角化病
L85.102	后天性皮肤角化病
L85.301	皮肤干燥性皮炎
L85.302	皮肤干燥症
L85.801	角化棘皮瘤
L85.802	皮角
L87.101	反应性穿孔性胶原病
L89.001	Ⅰ期压疮
H20.003	前房积脓
L89.101	Ⅱ期压疮
L89.201	Ⅲ期压疮
L89.901	压疮
L90.301	特发性皮肤萎缩
L90.401	慢性萎缩性肢皮炎
L90.501	瘢痕挛缩
L90.502	瘢痕
L90.503	手术后瘢痕
L90.504	瘢痕粘连
L90.505A1	头皮瘢痕
L90.505A2	枕部瘢痕
L90.505B	面部瘢痕
L90.505B1	额部瘢痕
L90.505B2	颞部瘢痕
L90.505B3	颧部瘢痕
L90.505B5	颏部瘢痕
L90.505B6	颊部瘢痕
L90.505C1	内眦部瘢痕
L90.505C2	上睑部瘢痕
L90.505C4	外眦部瘢痕
L90.505C5	眼眶部瘢痕
L90.505C6	眉部瘢痕
L90.505D2	鼻翼部瘢痕
L90.505E	口部瘢痕
L90.505E2	下唇部瘢痕
L90.505E3	口角部瘢痕
L90.505F	耳部瘢痕
L90.505F2	耳垂部瘢痕
L90.505G	上肢部瘢痕
L90.505G1	肩部瘢痕
L90.505G3	上臂部瘢痕
L90.505G4	肘部瘢痕
L90.505G6	腕部瘢痕
L90.505H	下肢部瘢痕
L90.505H1	大腿部瘢痕
L90.505H3	小腿部瘢痕
L90.505H4	踝部瘢痕
L90.505H6	腘窝部瘢痕
L90.505I	乳房部瘢痕
L90.505I2	乳晕部瘢痕
L90.505J	手部瘢痕
L90.505J1	手背部瘢痕
L90.505J3	虎口部瘢痕
T38.001	医源性类固醇性糖尿病
T38.101	甲状腺激素及其衍生物中毒
T38.102	甲状腺激素类中毒
T38.201	抗甲状腺药中毒
T38.301	医源性高胰岛素血症
T38.401	避孕药中毒
T38.501	雌激素和孕激素中毒
T38.601	三苯氧胺中毒
T38.801	垂体前叶激素类中毒
T38.901	激素类拮抗剂中毒
T39.001	水杨酸盐类中毒
T39.101	4-氨基苯酚衍生物中毒
T39.201	安乃近中毒
T39.301	非类固醇性消炎药中毒
T39.302	曲马朵中毒
T39.801	痛可灵中毒
T40.001	阿片类中毒
T40.101	海洛因中毒
T40.202	吗啡中毒
T40.301	美散痛中毒
T40.402	马兜铃(万丈龙)中毒
T40.501	可卡因中毒
T40.801	二乙麦角酰胺中毒
T40.902	二甲_4_羟羟色胺中毒
T40.903	西洛西宾中毒
T41.001	吸入性麻醉药中毒
T41.102	硫巴比妥盐类中毒
T41.201	全身麻醉药中毒
T41.401	麻醉药中毒
T41.501	治疗性氧气中毒
T41.503	治疗性二氧化碳中毒
T42.001	苯妥英纳中毒
T42.101	卡马西平中毒
T42.102	亚氨基二苯乙烯类中毒
T42.201	恶唑烷衍生物类中毒
T42.301	速可眠中毒
T42.302	巴比妥盐类中毒
T42.401	安定剂中毒
T42.402	硝基安定中毒
T42.403	利眠宁中毒
T42.405	佳静安定中毒
T42.406	安定中毒
T42.501	混合性镇颠痫药中毒
T42.601	安眠酮中毒
T42.606	苯乙哌啶酮类中毒
T42.608	芬那露中毒
T42.609	丙戊酸钠中毒
T42.701	催眠药中毒
T42.801	抗震颤麻痹药中毒
T42.803	金刚烷胺中毒
T43.001	多虑平中毒
T43.002	三环和四环抗抑郁药中毒
T43.201	氟西汀中毒
T43.301	奋乃静中毒
T43.302	氯丙嗪中毒
T43.303	酚噻嗪基类安定药中毒
T43.401	氟哌啶醇中毒
T43.402	丁酰苯中毒
T43.501	安宁中毒
T43.502	富马酸喹硫平中毒
T43.503	碳酸锂中毒
T43.903	对精神有影响的药物中毒
T44.001	吡啶斯的明中毒
T44.002	抗胆碱脂酶剂中毒
T44.201	神经节阻滞药中毒
T44.301	阿托品中毒
T44.302	莨菪碱类植物中毒
T44.303	安坦中毒
T44.402	阿拉明中毒
T44.501	β肾上腺素能受体显效药中毒
T44.601	α肾上腺素能受体拮抗剂中毒
T44.801	中枢作用和肾上腺素能-神经元-阻滞剂中毒
T44.901	α和β肾上腺素能受体药中毒
T45.001	抗过敏药和止吐药中毒
T45.101	抗肿瘤性抗生素中毒
T45.102	阿糖胞苷中毒
T45.103	环孢素中毒
T45.301	酶类中毒
T45.401	铁及其化合物中毒
T45.502	抗凝血药意外中毒
T45.701	抗凝拮抗剂中毒
T45.702	维生素K中毒
T45.703	凝血药中毒
T45.803	天然血中毒
T45.804	血制品中毒
T46.001	洋地黄中毒
T46.002	地高辛中毒
T46.101	异搏定中毒
T46.202	抗心律障碍药中毒
T46.301	硝酸甘油中毒
T46.303	潘生丁中毒
T46.401	血管紧张素转换酶抑制剂中毒
T46.501	可乐定中毒
T46.503	萝芙木中毒
T46.504	利血平中毒
T46.701	复降片中毒
T46.702	烟酸中毒
T46.703	周围血管扩张剂中毒
T46.801	抗静脉曲张药中毒
T47.001	组织胺H2受体拮抗剂中毒
T47.201	刺激性导泻药类中毒
T47.202	芦荟中毒
T47.301	盐水中毒
T47.401	肠弛缓药中毒
T47.501	助消化药类中毒
T47.601	止泻药中毒
T48.001	催产剂中毒
T48.101	骨骼肌松弛剂中毒
T48.401	祛痰剂中毒
T48.501	抗感冒药中毒
T48.602	曼陀罗中毒
T48.603	舒喘宁中毒
T49.001	甲酚中毒
T49.103	止痒药中毒
T49.201	局部收敛药中毒
T49.301	润滑药中毒
T49.302	缓和药中毒
T49.401	角质层分离药中毒
G12.106	肩腓型脊髓性肌肉萎缩
G12.107	脊髓延髓肌萎缩症(肯尼迪病)
G12.108	青年上肢远端肌萎缩症(平山病)
G12.201	肌萎缩侧索硬化症(ALS)
G12.202	继发性侧索硬化
G12.203	假性球麻痹
G12.204	进行性核上性球麻痹(PSP)
G12.205	进行性肌萎缩
G12.206	进行性脊髓性肌肉萎缩
G12.208	原发性侧索硬化症
G12.209	运动神经元病
G12.210	遗传性运动神经元病
G12.211	进行性球麻痹(进行性延髓麻痹/真性球麻痹)
G12.213	运动神经元变性病
G12.901	脊髓性肌肉萎缩
G20xx01	帕金森叠加综合征
G20xx02	帕金森氏病
G20xx03	原发性帕金森氏综合征
G20xx05+F02.3*	帕金森病性痴呆(震颤麻痹性痴呆)
G21.001	恶性抗精神病药综合征
G21.101	药物源性帕金森综合征
G21.201	中毒性帕金森综合征
G21.301	脑炎后帕金森综合征
G21.801	外伤后帕金森综合征
G21.901	继发性帕金森氏综合征
G23.001	哈勒沃登-施帕茨病
G23.101	进行性核上性眼肌麻痹[斯蒂尔－里查森-奥尔谢夫斯基]
G23.201	纹状体黑质变性
G23.803	基底节钙化
G23.804	皮质基底节变性(CBGD)
G23.805	家族性特发性基底节钙化症(Fahr病)
G23.806	齿状红核苍白球丘脑底核萎缩症(DRPLA)
G23.901	基底节变性
G24.001	药物源性肌张力障碍
G24.002	迟发性运动障碍
G24.101	扭转痉挛
G24.102	特发性家族性肌张力障碍
G24.103	特发性肌张力障碍
G24.201	婴儿大脑性手足徐动型轻瘫
G24.202	特发性非家族性肌张力障碍
G24.301	痉挛性斜颈
G24.302	痉挛性颈后倾
G24.303	痉挛性颈前倾
G24.304	痉挛性颈侧倾
G24.401	口面运动障碍
G24.402	无牙性口面运动障碍
G24.403	单纯口下颌张力失常
G24.501	眼睑痉挛
G24.502	梅热睑痉挛(Meige综合征)
G24.801	特发性扭转性肌张力障碍(ITD)
G24.802	继发性肌张力障碍
G24.901	肌紧张异常
G24.902	运动障碍
G24.904	肌张力障碍
G25.001	良性特发性震颤
G25.002	家族性震颤
G25.003	单纯头部震颤
G25.004	单纯面部震颤
G25.005	单纯声音震颤
G25.006	单纯手震颤
G25.007	儿童的战栗发作
G25.101	药物源性震颤
G25.201	意向性震颤
G25.301	肌阵挛
G25.302	药物源性肌阵挛
G25.401	药物源性舞蹈病
G25.501	偏身舞蹈病
G25.502	舞蹈病
G25.503	阵发性运动源性舞蹈手足徐动症(阵发性运动神经源性运动障碍)
G25.505	神经性棘红细胞增多症(舞蹈性棘红细胞增多症)
G07  08*	结核性脑脓肿
T37.901	全身性抗感染药和抗寄生虫药中毒
G25.802	进行性苍白球萎缩
G25.803	僵人综合征
G25.804	器质性书写痉挛
G25.901	基底节病变
G25.902	神经节(基底神经节,脑)综合征
G25.903	锥体外系综合征
G30.001	早发型阿尔茨海默病
G30.002	早发型家族性阿尔茨海默病
G30.003+F00.0*	早发型阿尔茨海默病性痴呆
G30.004+F00.0*	早发型家族性阿尔茨海默病性痴呆
G30.102	晚发型家族性阿尔茨海默病
G30.103+F00.1*	晚发型阿尔茨海默病性痴呆
G30.801	混合型阿尔茨海默病
G30.802+F00.8*	混合型阿尔茨海默病性痴呆
G30.901	阿尔茨海默病
G30.902+F00.9*	阿尔茨海默病性痴呆
G31.002	局限性脑萎缩
G31.003	进行性孤立性失语症
G31.004+F02.0*	皮克病性痴呆
G31.102	老年性脑萎缩
G31.202	酒精性脑病
G31.203	酒精性小脑变性
G31.204	酒精性小脑共济失调
G31.205	酒精性大脑变性
G31.801	脊髓变性
G31.803	亚急性坏死性脑病[利氏综合征]
G31.804	灰质变性[阿尔珀斯]
G31.901	大脑变性
G31.902	多神经系统变性
G31.903	儿童期脑萎缩
G31.906	脑萎缩
G31.907	皮质延髓小脑萎缩
G31.909	小脑变性
G31.910	小脑萎缩
G31.911	婴儿进行性大脑变性
G35xx01	多发性硬化
G35xx02	脑干多发性硬化
G35xx04+F02.8*	多发性硬化性痴呆
G36.001	视神经脊髓炎[德维克]
G36.901	急性播散性脱髓鞘
G37.001	席尔德病(弥漫性硬化)
G37.003	轴周性脑炎
G37.101	胼胝体中枢性脱髓鞘
G37.201	脑桥中央髓鞘溶解症
G37.301	急性横贯性脊髓炎
G37.501	同心圆性硬化[鲍洛]
G37.801	脱髓鞘性白质脑病
G37.802	脱髓鞘性脑病
G40.101	部分性癫痫
G40.102	杰克逊氏癫痫
G40.103	杰克逊氏癫痫(头痛型)
G40.104	局灶性癫痫
G40.105	旋转性癫痫发作
G40.108	额叶癫痫
G40.109	顶叶癫痫
G40.201	精神运动性癫痫
G40.202	颞叶性癫痫
G40.203	枕叶性癫痫
G40.301	发作性肌阵挛
G40.302	混合型癫痫
G40.303	肌阵挛性癫痫
