ICD10编码	ICD10副编码	ICD10名称	拼音助剂码
M9941/3		白血病性网状内皮细胞增殖(C91.4)	BXBXWZNPXB
M9950/1		真性红细胞增多症(D45)	ZXHXBZDZD4
M9960/1		慢性骨髓增生性疾病(D47.1)	MXGSZSXJBD
M9961/1		骨髓硬化,伴有髓样化生(D47.1)	GSYHBYSYHS
M9962/1		特发性血小板增多症(D47.3)	TFXXXBZDZD
M9970/1		淋巴组织增生性疾病 NOS(D47.9)	LBZZZSXJBN
M9980/1		顽固性贫血 NOS(D46.4)	WGXPXNOSD4
M9981/1		顽固性贫血,不伴有铁粒幼细胞(D46.0)	WGXPXBBYTL
M9982/1		顽固性贫血,伴有铁粒幼细胞(D46.1)	WGXPXBYTLY
M9983/1		顽固性贫血,伴有胚细胞过多(D46.2)	WGXPXBYPXB
M9984/1		顽固性贫血,伴有转化中的胚细胞过多(D46.3)	WGXPXBYZHZ
M9989/1		骨髓增生异常综合征 NOS(D46.9)	GSZSYCZHZN
M9932/3		急性骨髓纤维化(C94.5)	JXGSXWHC94
M9940/3		多毛细胞白血病(C91.4)	DMXBBXBC91
M8160/3		胆管癌(C22.1)	DGAC221
M8160/6		转移性胆管癌	ZYXDGA
M8161/0		胆管囊腺瘤	DGNXL
M8161/3		胆管囊腺癌	DGNXA
M8162/3		克拉特斯金瘤(C22.1)	KLTSJLC221
M8170/0		肝细胞腺瘤(D13.4)	GXBXLD134
M8170/3		肝细胞癌 NOS(C22.0)	GXBANOSC22
M8170/6		继发性肝细胞癌	JFXGXBA
M8171/3		肝细胞癌,纤维板状(C22.0)	GXBAXWBZC2
M8180/3		联合性肝细胞癌和胆管癌(C22.0)	LHXGXBAHDG
M8190/0		小梁性腺瘤	XLXXL
M8190/3		小梁性腺癌	XLXXA
M8191/0		胚胎性腺瘤	PTXXL
M8200/0		外分泌性皮肤圆柱瘤(D23.-)	WFMXPFYZLD
M8200/3		腺样囊性癌	XYNXA
M8200/6		腺样囊性癌,转移性	XYNXAZYX
M8201/3		筛状癌	SZA
M8202/0		微小囊性腺瘤(D13.7)	WXNXXLD137
M8210/0		腺瘤样息肉 NOS	XLYXRNOS
M8210/2		腺瘤样息肉内的原位腺癌	XLYXRNDYWX
M8210/3		腺瘤样息肉内的腺癌	XLYXRNDXA
M8211/0		管状腺瘤 NOS	GZXLNOS
M8211/3		管状腺癌	GZXA
M8211/6		继发性管状腺癌	JFXGZXA
M8220/0		结肠腺瘤样息肉病(D12.-)	JCXLYXRBD1
M8220/3		结肠腺瘤样息肉病内的腺癌(C18.-)	JCXLYXRBND
M8221/0		多发性腺瘤样息肉(消化道多发息肉综合征)	DFXXLYXR
M8221/3		多发性腺瘤样息肉内的腺癌	DFXXLYXRND
M8230/3		实体癌 NOS	STANOS
M8231/3		单纯癌	DCA
M8240/1		类癌瘤 NOS,阑尾的(D37.3)	LALNOSLWDD
M8240/3		类癌瘤 NOS,(除外阑尾的M8240/1)	LALNOSCWLW
M8240/6		继发性类癌	JFXLA
M8241/1		类癌瘤,嗜银性 NOS	LALSYXNOS
M8241/3		类癌瘤,嗜银性,恶性	LALSYXEX
M8243/3		杯形细胞类癌(C18.1)	BXXBLAC181
M8244/3		复合性类癌	FHXLA
M8245/3		腺类癌瘤	XLAL
M8246/3		神经内分泌癌	SJNFMA
X64.905		特指药物自杀	E12TZYWZS
X64.906		雷米封自杀	E12LMFZS
X65.901		服酒精自杀	E12FJJZS
X66.901		服苯自杀	E12FBZS
X67.901		一氧化碳自杀	E12YYHTZS
X68.901		除草剂故意自毒	CCJGYZD
X68.902		杀鼠剂故意自毒	SSJGYZD
X68.903		农用药自杀	E12NYYZS
X68.904		其他杀虫剂的故意自害	QTSCJDGYZH
X68.905		有机磷自杀	E12YJLZS
X69.001		自服酸性物质	ZFSXWZ
X69.002		自服金属	ZFJS
X69.003		自服洗涤剂	ZFXDJ
X69.901		洋地黄自杀	E12YDHZS
X69.902		硫酸自杀	E12LSZS
X69.903		酸性物自杀	E12SXWZS
X69.904		汞自杀	E12GZS
X70.901		用悬吊、绞勒和窒息方式故意自害	YXDJLHZXFSGYZH
X70.902		自缢	E12ZY
X71.901		用淹溺方式故意自害	YYNFSGYZH
X78.901		用刀或锐器自杀	E12YDHRQZS
X80.201		从医院建筑楼跳下（故意自害）	CYYJZLTXGYZH
X80.901		从高处跳下自杀	E12CGCTXZS
X83.901		触电自杀	E12CDZS
X85.901		其他特指的药物和药剂加害	E13QTTZDYWHYJJH
X86.901		用硫酸加害	YLSJH
X87.901		用杀鼠剂进行加害	YSSJJXJH
X87.902		用有机磷农药进行加害	YYJLNYJXJH
X90.901		用未特指的物质进行加害	YWTZDWZJXJH
X90.902		用毒谋害	E13YDMH
X91.901		以悬吊和绞勒谋害	E13YXDHJLMH
X93.901		用手枪发射进行加害	YSQFSJXJH
X94.901		猎枪加害	E13LQJH
X95.901		用其他或未特指火器发射进行加害	YQTHWTZHQFSJXJH
X95.902		枪击伤,加害	E13QJSJH
X97.901		纵火谋害	E13ZHMH
D17.001		颌下腺脂肪瘤	HXXZFL
D17.002		头.面.颈部脂肪瘤	TMJBZFL
D17.101		躯干脂肪瘤	QGZFL
D17.102		乳腺脂肪瘤	RXZFL
D17.103		乳房脂肪瘤	RFZFL
D17.201		肢体脂肪瘤	ZTZFL
D17.301		大阴唇脂肪瘤	DYCZFL
D17.302		外阴脂肪瘤	WYZFL
D17.401		纵隔脂肪瘤	ZGZFL
D17.402		胸腺脂肪瘤	XXZFL
D17.501		肠系膜脂肪瘤	CXMZFL
D17.502		肠纤维脂肪瘤	CXWZFL
D17.503		肠脂肪瘤	CZFL
D17.504		腹腔脂肪瘤	FQZFL
D17.505		盆腔脂肪瘤	PQZFL
D17.506		肾脂肪瘤	SZFL
D17.507		胃脂肪瘤	WZFL
D17.601		精索脂肪瘤	JSZFL
D17.701		鞍区脂肪瘤	AQZFL
D32.006		蝶鞍区脑膜良性肿瘤	DAQNMLXZL
D32.007		蝶骨嵴脑膜良性肿瘤	DGJNMLXZL
D32.008		蝶骨脑膜瘤	DGNML
D32.009		顶叶脑膜良性肿瘤	DYNMLXZL
D32.010		额叶脑膜良性肿瘤	EYNMLXZL
D32.011		横窦脑膜瘤	HDNML
D32.012		颅后窝脑膜良性肿瘤	LHWNMLXZL
D32.013		颅前窝脑膜瘤	LQWNML
D32.014		颅窝脑膜瘤	LWNML
D32.015		颅中窝脑膜良性肿瘤	LZWNMLXZL
D32.016		脑室脑膜良性肿瘤	NSNMLXZL
D32.017		颞叶脑膜良性肿瘤	YNMLXZL
D32.018		前床突脑膜瘤	QCTNML
D32.019		桥脑脑膜瘤	QNNML
D32.020		筛窦脑膜瘤	SDNML
D32.021		矢状窦脑膜瘤	SZDNML
D32.022		矢状窦旁脑膜瘤	SZDPNML
D32.023		小脑慕脑膜瘤	XNMNML
D32.024		小脑脑膜瘤	XNNML
D32.025		嗅沟脑膜瘤	XGNML
D32.026		岩骨脑膜瘤	YGNML
D32.027		枕骨大孔脑膜瘤	ZGDKNML
D32.028		枕叶脑膜瘤	ZYNML
D32.029		中颅窝脑膜瘤	ZLWNML
D32.101		脊膜良性肿瘤	JMLXZL
D32.102		硬脊膜下良性肿瘤	YJMXLXZL
D32.103		硬脊膜下脑膜瘤	YJMXNML
D32.104		椎管内硬膜下良性肿瘤	ZGNYMXLXZL
D32.901		混合性脑膜瘤	HHXNML
D32.902		脑膜瘤	NML
D32.903		硬膜良性肿瘤	YMLXZL
D32.904		椎管内良性肿瘤	ZGNLXZL
D33.001		颅窝良性肿瘤	LWLXZL
D33.002		脉络丛乳头状瘤	MLCRTZL
D33.003		脑室良性肿瘤	NSLXZL
D33.004		矢状窦良性肿瘤	SZDLXZL
D33.005		额叶良性肿瘤	EYLXZL
D33.006		顶叶良性肿瘤	DYLXZL
D33.101		脑干良性肿瘤	NGLXZL
D33.102		桥脑良性肿瘤	QNLXZL
D33.103		小脑良性肿瘤	XNLXZL
D33.104		四脑室良性肿瘤	SNSLXZL
D33.201		颅内良性肿瘤	LNLXZL
D33.202		脑良性肿瘤	NLXZL
D33.301		颅神经良性肿瘤	LSJLXZL
D33.302		迷走神经良性肿瘤	MZSJLXZL
D33.303		面神经良性肿瘤	MSJLXZL
D33.304		三叉神经良性肿瘤	SCSJLXZL
D33.305		舌下神经良性肿瘤	SXSJLXZL
D33.306		视盘良性肿瘤	SPLXZL
D33.307		视神经良性肿瘤	SSJLXZL
D33.308		听神经良性肿瘤	TSJLXZL
D33.309		听神经瘤	TSJL
D33.401		脊髓良性肿瘤	JSLXZL
D33.402		马尾良性肿瘤	MWLXZL
D33.403		马尾圆锥良性肿瘤	MWYZLXZL
D33.901		硬膜内外良性肿瘤	YMNWLXZL
D33.902		硬脊膜外良性肿瘤	YJMWLXZL
D34  01		甲状舌管良性肿瘤	JZSGLXZL
D34  02		甲状腺良性肿瘤	JZXLXZL
D34  03		胸骨后甲状腺良性肿瘤	XGHJZXLXZL
D34  04		许特耳氏细胞腺瘤	XTESXBXL
D34  05		异位甲状腺良性肿瘤	YWJZXLXZL
D35.001		肾上腺良性肿瘤	SSXLXZL
D35.002		肾上腺皮质腺瘤	SSXPZXL
D35.101		甲状旁腺良性肿瘤	JZPXLXZL
D35.102		异位甲状旁腺良性肿瘤	YWJZPXLXZL
D35.103		主细胞腺瘤	ZXBXL
D31.501		泪管良性肿瘤	LGLXZL
D31.502		泪腺良性肿瘤	LXLXZL
D31.601		眶内良性细胞瘤	KNLXXBL
D31.602		球后良性肿瘤	QHLXZL
D35.201		垂体良性肿瘤	CTLXZL
D35.202		垂体泌乳素瘤	CTMRSL
D35.203		垂体微腺瘤	CTWXL
D35.204		垂体无功能良性肿瘤	CTWGNLXZL
D35.401		松果体良性肿瘤	SGTLXZL
D36.101		臂丛神经良性肿瘤	BCSJLXZL
D36.102		脊神经良性肿瘤	JSJLXZL
D36.702		颞部良性肿瘤	NBLXZL
D36.703		颌下良性肿瘤	HXLXZL
D36.704		颊部良性肿瘤	JBLXZL
D36.705		面部良性肿瘤	MBLXZL
D36.706		颈部良性肿瘤	JBLXZL
D36.707		胸腔良性肿瘤	XQLXZL
D36.708		腹腔良性肿瘤	FQLXZL
D36.709		骶前良性肿瘤	DQLXZL
D36.710		骶尾区良性肿瘤	DWQLXZL
D36.711		会阴部良性肿瘤	HYBLXZL
D36.712		掴窝良性肿瘤	GWLXZL
D36.713		髋良性肿瘤	KLXZL
D36.714		盆腔良性肿瘤	PQLXZL
D36.715		上肢和肩良性肿瘤	SZHJLXZL
D36.716		臀部良性肿瘤	TBLXZL
D36.717		下肢良性肿瘤	XZLXZL
D36.718		小腿良性肿瘤	XTLXZL
D36.719		直肠旁良性肿瘤	ZCPLXZL
D36.720		直肠阴道膈良性肿瘤	ZCYDGLXZL
D36.721		足良性肿瘤	ZLXZL
D36.722		腹股沟区良性肿瘤	FGGQLXZL
D36.723		头部良性肿瘤	TBLXZL
D36.724		颌下区良性肿瘤	HXQLXZL
D36.901		多发性腺瘤样息肉	DFXXLYXR
D36.902		消化道多发息肉综合征(Cronkhite-Canda	XHDDFXRZHZCRON
D37.001		扁桃体肿瘤	BTTZL
D37.002		唇交界恶性肿瘤	CJJEXZL
D37.003		腮腺交界恶性肿瘤	SXJJEXZL
D37.004		涎腺交界恶性肿瘤	XXJJEXZL
D37.005		咽部交界恶性肿瘤	YBJJEXZL
D37.101		贲门交界恶性肿瘤	BMJJEXZL
D37.102		胃交界恶性肿瘤	WJJEXZL
D37.201		十二指肠交界恶性肿瘤	SEZCJJEXZL
D37.202		小肠交界恶性肿瘤	XCJJEXZL
D37.301		阑尾交界恶性肿瘤	LWJJEXZL
D37.401		结肠交界恶性肿瘤	JCJJEXZL
D37.402		乙状结肠交界恶性肿瘤	YZJCJJEXZL
D37.501		直肠交界恶性肿瘤	ZCJJEXZL
D37.601		胆囊交界恶性肿瘤	DNJJEXZL
D37.602		壶腹部交界恶性肿瘤	HFBJJEXZL
D37.701		肠交界恶性肿瘤	CJJEXZL
D37.702		食道交界恶性肿瘤	SDJJEXZL
D37.703		胰腺交界恶性肿瘤	YXJJEXZL
D37.704		胰腺肿瘤	YXZL
D37.705		肛门及肛门周围组织交界恶性肿瘤	GMJGMZWZZJJE
D37.901		其他消化器官交界恶性肿瘤	QTXHQGJJEXZL
D37.902		消化系统肿瘤	XHXTZL
D38.001		会厌交界恶性肿瘤	HYJJEXZL
D38.002		喉交界恶性肿瘤	HJJEXZL
D38.101		肺交界恶性肿瘤	FJJEXZL
D38.102		气管交界恶性肿瘤	QGJJEXZL
D38.103		支气管交界恶性肿瘤	ZQGJJEXZ
D38.301		纵隔交界恶性肿瘤	ZGJJEXZL
D38.401		胸腺动态未定肿瘤	XXDTWDZL
D38.501		鼻腔交界恶性肿瘤	BQJJEXZL
D38.502		鼓室颈静脉交界恶性肿瘤	GSJJMJJEXZL
D38.601		呼吸系统交界恶性肿瘤	HXXTJJEXZL
D38.602		呼吸系统肿瘤	HXXTZL
D39.001		淋巴管内性间质异位症	LBGNXJZYWZ
D39.002		子宫交界恶性肿瘤	ZGJJEXZL
D39.003		子宫内膜交界恶性肿瘤	ZGNMJJEXZL
D39.101		多房囊肿	DFNZ
D39.102		交界恶性纤维上皮瘤(交界恶性布伦纳氏	JJEXXWSPLJJEXB
D39.103		交界性子宫内膜样腺瘤	JJXZGNMYXL
D17.702		腹膜后脂肪瘤	FMHZFL
D17.703		喉脂肪瘤	HZFL
D17.704		脊髓圆椎脂肪瘤	JSYZZFL
D17.705		结膜脂肪瘤	JMZFL
D17.706		梨状窝脂肪瘤	LZWZFL
D17.707		颅骨脂肪瘤	LGZFL
D17.708		神经系统脂肪瘤	SJXTZFL
D17.709		肾上腺脂肪瘤	SSXZFL
D17.710		硬膜内脂肪瘤	YMNZFL
D17.711		硬膜外脂肪瘤	YMWZFL
D17.901		多发性脂肪瘤	DFXZFL
D18.001		贲门血管瘤	BMXGL
D18.002		鼻背血管瘤	BBXGL
D18.003		鼻窦血管瘤	BDXGL
D18.004		鼻腔血管瘤	BQXGL
D18.005		鼻血管瘤	BXGL
D18.006		鼻咽部血管瘤	BYBXGL
D18.007		肠系膜血管瘤	CXMXGL
D18.008		肠血管瘤	CXGL
D18.009		唇血管瘤	CXGL
D18.010		丛状血管瘤	CZXGL
D18.011		大肠血管瘤	DCXGL
D18.012		耳道血管瘤	EDXGL
D18.013		肺血管瘤	FXGL
D18.014		腹壁血管瘤	FBXGL
D16.006		肩关节良性肿瘤	JGJLXZL
D16.101		上肢短骨良性肿瘤	SZDGLXZL
D16.102		上肢关节良性肿瘤	SZGJLXZL
D16.103		掌骨良性肿瘤	ZGLXZL
D16.104		指骨良性肿瘤	ZGLXZL
D16.201		腓骨良性肿瘤	FGLXZL
D16.202		股骨良性肿瘤	GGLXZL
D16.203		胫骨良性肿瘤	JGLXZL
D16.204		下肢骨良性肿瘤	XZGLXZL
D16.301		跟骨良性肿瘤	GGLXZL
D16.302		踝骨良性肿瘤	HGLXZL
D18.015		腹膜后血管瘤	FMHXGL
D18.016		肝血管瘤	GXGL
D18.017		骨(脊椎)血管瘤	GJZXGL
D18.018		骨血管瘤	GXGL
D18.019		海绵状血管瘤	HMZXGL
D18.020		喉血管瘤	HXGL
D18.021		肌内血管瘤	JNXGL
D18.022		脊椎血管瘤	JZXGL
D18.023		颊部血管瘤	JBXGL
D18.024		结膜海绵状血管瘤	JMHMZXGL
D18.025		颈部血管瘤	JBXGL
D18.039		其他特指部位血管瘤	QTTZBWXGL
D18.040		眼球后血管瘤	YQHXGL
D18.041		躯干血管瘤	QGXGL
D18.042		腮腺血管瘤	SXXGL
D18.043		舌口涎腺血管瘤	SKXXXGL
D18.044		舌血管瘤	SXGL
D18.045		肾上腺血管瘤	SSXXGL
D18.046		肾血管瘤	SXGL
D18.047		食道血管瘤	SDXGL
D18.048		肢体血管瘤	ZTXGL
D18.049		头,面,颈血管瘤	TMJXGL
D18.050		头面血管瘤	TMXGL
D18.051		外阴血管瘤	WYXGL
D18.052		小肠血管瘤	XCXGL
D18.053		血管瘤	XGL
D18.054		咽、喉、鼻腔血管瘤	YHBQXGL
D18.055		咽部血管瘤	YBXGL
D18.056		胰腺血管瘤	YXXGL
D18.057		硬膜外血管瘤	YMWXGL
D18.058		椎管内血管瘤	ZGNXGL
D18.059		纵隔血管瘤	ZGXGL
D18.060		阴茎血管瘤	YJXGL
D18.101		肠系膜淋巴管瘤	CXMLBGL
D18.102		腹膜后淋巴管瘤	FMHLBGL
D18.103		海绵状淋巴管瘤	HMZLBGL
D18.104		口腔内淋巴管瘤	KQNLBGL
D18.105		淋巴管肌瘤	LBGJL
D18.106		淋巴管瘤	LBGL
D18.107		囊性淋巴管瘤	NXLBGL
D18.108		颞枕硬膜下淋巴管瘤	ZYMXLBGL
D18.109		躯干淋巴管瘤	QGLBGL
D18.110		腮腺淋巴管瘤	SXLBGL
D18.111		舌淋巴管瘤	SLBGL
D18.112		四肢淋巴管瘤	SZLBGL
D18.113		头.面.颈部淋巴管瘤	TMJBLBGL
D18.114		血管淋巴管瘤	XGLBGL
D18.115		纵隔淋巴管瘤	ZGLBGL
D19.701		子宫腺瘤样瘤	ZGXLYL
D20.001		腹膜后良性肿瘤	FMHLXZL
D20.002		腹主动脉旁良性肿瘤	FZDMPLXZL
D20.101		肠系膜良性肿瘤	CXMLXZL
D20.102		腹膜良性肿瘤	FMLXZL
D20.103		网膜良性肿瘤	WMLXZL
D21.001		耳部结缔组织良性肿瘤	EBJDZZLX
D21.002		耳软骨良性肿瘤	ERGLXZL
D21.003		耳后皮下良性肿瘤	EHPXLXZL
D21.004		膈结缔组织良性肿瘤	GJDZZLXZL
D21.005		颈部结缔组织良性肿瘤	JBJDZZLXZL
D21.006		面部结缔组织良性肿瘤	MBJDZZLXZL
D21.007		锁骨上结缔组织良性肿瘤	SGSJDZZLXZ
D21.008		头结缔组织良性肿瘤	TJDZZLXZL
D21.009		头面部结缔组织的良性肿瘤	TMBJDZZDLX
D21.101		臂结缔组织良性肿瘤	BJDZZLXZL
D21.102		上肢结缔组织良性肿瘤	ZZJDZZLXZL
D21.103		肘结缔组织良性肿瘤	ZJDZZLXZL
D21.104		手指结缔组织良性肿瘤	SZJDZZLXZL
D21.201		四肢多发性结缔组织良性肿瘤	SZDFXJDZZLXZ
D21.202		足结缔组织良性肿瘤	ZJDZZLXZL
D21.203		下肢结缔组织良性肿瘤	XZJDZZLXZL
D21.301		胸壁结缔组织良性肿瘤	XBJDZZLXZL
D21.302		腋结缔组织良性肿瘤	YJDZZLXZL
D21.401		腹部结缔组织良性肿瘤	FBJDZZLXZL
D21.402		骼窝结缔组织良性肿瘤	GWJDZZLXZL
D21.403		髂腰肌结缔组织良性肿瘤	QYJJDZZLXZL
D21.501		骶部结缔组织良性肿瘤	DBJDZZLXZL
D21.502		骶前结缔组织良性肿瘤	DQJDZZLXZL
D21.503		腹股沟结缔组织良性肿瘤	FGGJDZZLXZ
D21.504		尿道旁结缔组织良性肿瘤	NDPJDZZLXZL
D21.601		背部结缔组织良性肿瘤	BBJDZZLXZL
D21.602		躯干结缔组织良性肿瘤	QGJDZZLXZL
D18.026		静脉性血管瘤	JMXXGL
D18.027		口腔内血管瘤	KQNXGL
D18.028		口腔血管瘤	KQXGL
D18.029		眶内血管瘤	KNXGL
D18.030		良性血管内皮瘤	LXXGNPL
D18.031		颅内血管瘤	LNXGL
D18.032		脉络膜血管瘤	MLMXGL
D18.033		蔓状血管瘤	MZXGL
D18.034		毛细血管性血管瘤	MXXGXXGL
D18.035		脑血管瘤	NXGL
D18.036		尿道口血管瘤	NDKXGL
D18.037		皮肤血管球瘤	PFXGQL
D18.038		脾血管瘤	PXGL
D22.701		下肢黑素细胞痣	XZHSXBZ
D23.101		眼睑良性肿瘤	YJLXZL
D23.201		耵聍腺瘤	DNXL
D23.202		耳廓良性肿瘤	EKLXZL
D23.203		耳皮肤良性肿瘤	EPFLXZL
D23.204		听道结缔组织良性肿瘤	TDJDZZLXZL
D23.205		外耳道良性肿瘤	WEDLXZL
D23.206		外耳道皮肤良性肿瘤	WEDPFLXZL
D23.301		鼻部皮肤良性肿瘤	BBPFLXZL
D23.302		鼻良性肿瘤	BLXZL
D23.303		鼻唇沟良性肿瘤	BCGLXZL
D23.304		颊部皮肤良性肿瘤	JBPFLXZL
D23.305		眉良性肿瘤	MLXZL
D23.306		面部皮肤良性肿瘤	MBPFLXZL
D23.401		耳后皮肤良性肿瘤	EHPFLXZL
D23.402		颈部皮肤良性肿瘤	JBPFLXZL
D23.403		头皮良性肿瘤	TPLXZL
D23.501		背部皮肤良性肿瘤	BBPFLXZL
D23.502		腹壁良性肿瘤	FBLXZL
D23.503		肛门皮肤良性肿瘤	GMPFLXZL
D23.504		躯干皮肤良性肿瘤	QGPFLXZL
D23.505		臀部皮肤良性肿瘤	TBPFLXZL
D23.506		胸壁良性肿瘤	XBLXZL
D23.507		腋下皮肤良性肿瘤	YXPFLXZL
D23.601		上肢皮肤良性肿瘤	SZPFLXZL
D23.602		指皮肤良性肿瘤	ZPFLXZL
D23.701		下肢皮肤良性肿瘤	XZPFLXZL
D23.901		皮肤良性肿瘤	PFLXZL
D24  01		良性叶状囊性肉瘤	LXYZNXRL
D24  02		乳房良性肿瘤	RFLXZL
D25.001		子宫粘膜下肌瘤	ZGZMXJL
D25.201		子宫浆膜下肌瘤	ZGJMXJL
D25.901		子宫多发性平滑肌瘤	ZGDFXPHJL
D25.902		子宫平滑肌瘤	ZGPHJL
D26.001		子宫颈良性肿瘤	ZGJLXZL
D26.101		子宫体良性肿瘤	ZGTLXZL
D26.701		胎盘良性肿瘤	TPLXZL
D26.901		子宫良性肿瘤	ZGLXZL
D27  01		卵巢良性肿瘤	LCLXZL
D27  02		类脂质细胞瘤	LZZXBL
D27  03		卵巢畸胎瘤	LCJTL
D27  04		卵巢甲状腺肿	LCJZXZ
D27  05		布伦纳氏瘤	BLNSL
D27  06		泡膜细胞瘤	PMXBL
D27  07		卵巢脂质细胞瘤	LCZZXBL
D27  08		子宫内膜样腺瘤	ZGNMYXL
D27  09		浆液性囊腺瘤	JYXNXL
D27  10		乳头状囊腺瘤	RTZNXL
D27  11		乳头状粘液性囊腺瘤	RTZNYXNXL
D27  12		黄体瘤	HTL
D27  13		浆液性腺纤维瘤	JYXXXWL
D28.001		外阴良性肿瘤	WYLXZL
D28.002		阴唇良性肿瘤	YCLXZL
D28.101		阴道良性肿瘤	YDLXZL
D28.201		阔韧带良性肿瘤	KRDLXZL
D28.202		卵巢冠良性肿瘤	LCGLXZL
D28.203		输卵管良性肿瘤	SLGLXZL
D29.001		龟头良性肿瘤	GTLXZL
D29.002		阴茎良性肿瘤	YJLXZL
D29.101		前列腺良性肿瘤	QLXLXZL
D29.201		睾丸良性肿瘤	GWLXZL
D29.301		附睾良性肿瘤	FGLXZL
D29.401		阴囊良性肿瘤	YNLXZL
D29.701		精囊良性肿瘤	JNLXZL
D29.702		精索良性肿瘤	JSLXZL
D29.703		鞘膜良性肿瘤	QMLXZL
D30.001		肾良性肿瘤	SLXZL
D30.101		肾盂良性肿瘤	SYLXZL
D30.201		输尿管良性肿瘤	SNGLXZL
D30.301		膀胱良性肿瘤	PGLXZL
D30.401		尿道良性肿瘤	NDLXZL
D31.001		结膜良性肿瘤	JMLXZL
D31.101		角膜良性肿瘤	JMLXZL
D31.201		视网膜良性肿瘤	SWMLXZL
D31.301		脉络膜良性肿瘤	MLMLXZL
D31.401		虹膜良性肿瘤	HMLXZL
D21.603		腰部结缔组织良性肿瘤	YBJDZZLXZL
D21.901		肌肉良性肿瘤	JRLXZL
D21.902		结缔组织良性肿瘤	JDZZLXZL
D22.101		眼睑黑索细胞痣，包括眦	YJHSXBZBKC
D22.301		面部黑素细胞痣	MBHSXBZ
D22.401		头皮黑素细胞痣	TPHSXBZ
D22.501		背部黑素细胞痣	BBHSXBZ
D22.502		乳房皮肤黑素细胞痣	RFPFHSXBZ
D22.601		上肢黑素细胞痣(包括肩)	SZHSXBZBKJ
D31.603		眼眶良性肿瘤	YKLXZL
D31.901		眼良性肿瘤	YLXZL
D32.001		鞍部脑膜瘤	ABNML
D32.002		鞍膈脑膜瘤	AGNML
D32.003		鞍结节脑膜瘤	AJJNML
D32.004		大脑镰脑膜良性肿瘤	DNLNMLXZL
D32.005		大脑镰旁脑膜瘤	DNLPNML
M8247/3		梅克尔细胞癌(C44.-)	MKEXBAC44
M8248/1		APUD瘤	APUDL
M8250/1		肺腺瘤病(D38.1)	FXLBD381
M8250/3		细支气管-肺泡腺癌(C34.-)	XZQGFPXAC3
M8251/0		肺泡腺瘤(D14.3)	FPXLD143
M8251/3		肺泡腺癌(C34.-)	FPXAC34
M8251/6		继发性肺泡腺癌	JFXFPXA
M8260/0		乳头状腺瘤 NOS	RTZXLNOS
M8260/3		乳头状腺癌 NOS	RTZXANOS
M8260/6		继发性乳头状腺癌	JFXRTZXA
M8261/1		绒毛状腺瘤 NOS	RMZXLNOS
M8261/2		绒毛状腺瘤内的原位腺癌	RMZXLNDYWX
M8261/3		绒毛状腺瘤内的腺癌	RMZXLNDXA
M8262/3		绒毛状腺癌	RMZXA
M8263/0		管状绒毛状腺瘤 NOS	GZRMZXLNOS
M8263/2		管状绒毛状腺瘤内的原位腺癌	GZRMZXLNDY
M8263/3		管状绒毛状腺瘤内的腺癌	GZRMZXLNDX
M8270/0		嫌色细胞腺瘤(D35.2)	XSXBXLD352
M8270/3		嫌色细胞癌(C75.1)	XSXBAC751
M8271/0		催乳素瘤(D35.2)	CRSLD352
M8280/0		嗜酸细胞腺瘤(D35.2)	SSXBXLD352
M8280/3		嗜酸细胞癌(C75.1)	SSXBAC751
M8281/0		混合性嗜酸细胞-嗜碱细胞腺瘤(D35.2)	HHXSSXBSJX
M8281/3		混合性嗜酸细胞-嗜碱细胞癌(C75.1)	HHXSSXBSJX
M8290/0		嗜酸性腺瘤(许特耳氏细胞腺瘤)	SSXXL
M8290/3		嗜酸性腺癌	SSXXA
M8300/0		嗜碱细胞腺瘤(D35.2)	SJXBXLD352
M8300/3		嗜碱细胞癌(C75.1)	SJXBAC751
M8310/0		明细胞腺瘤	MXBXL
M8310/3		明细胞腺癌 NOS	MXBXANOS
M8310/6		继发性透明细胞癌	JFXTMXBA
M8311/1		肾上腺样瘤	SSXYL
M8312/3		肾细胞癌(C64)	SXBAC64
M8154/3		混合性胰岛细胞和外分泌腺癌(C25.-)	HHXYDXBHWF
M8155/3		胰腺瘤	YXL
M8160/0		胆管腺瘤(D13.4,D13.5)	DGXLD134D1
M8320/3		颗粒细胞癌	KLXBA
M8321/0		主细胞腺瘤(D35.1)	ZXBXLD351
M8322/0		水样明细胞腺瘤(D35.1)	SYMXBXLD35
M8322/3		水样明细胞腺癌(C75.0)	SYMXBXAC75
M8323/0		混合细胞腺瘤	HHXBXL
M8323/3		混合细胞腺癌	HHXBXA
M8324/0		脂肪腺瘤	ZFXL
M8330/0		滤泡性腺瘤(D34)	LPXXLD34
M8330/3		滤泡性腺癌 NOS(C73)	LPXXANOSC7
M8331/3		滤泡性腺癌,高分化的(C73)	LPXXAGFHDC
M8332/3		滤泡性腺癌,小梁性(C73)	LPXXAXLXC7
M8333/0		微滤泡性腺瘤(胎儿型腺瘤)(D34)	WLPXXLD34
M8334/0		巨滤泡性腺瘤(胶样腺瘤)(D34)	JLPXXLD34
M8340/3		乳头状癌,滤泡性变异(C73)	RTZALPXBYC
M8350/3		无包膜硬化性癌(C73)	WBMYHXAC73
M8360/1		多发性内分泌腺瘤	DFXNFMXL
M8361/1		球旁细胞瘤(D41.0)	QPXBLD410
M8370/0		肾上腺皮质腺瘤 NOS(D35.0)	SSXPZXLNOS
